brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price
dell,Latitude 3520 Laptop,15.6,Black,1000.0,Core i5,16.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,953.82
dell,Inspiron 3511 Laptop,15.6,Black,500.0,Core i5,32.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,645.99
dell,Latitude 7420 Laptop,14.0,Black,512.0,Core i7,16.0,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,801.99
dell,Inspiron 7415 2-in-1,14.0,Grey,256.0,AMD Ryzen 7,12.0,Windows 11 Home,Wifi & Bluetooth,AMD Integrated Graphics,,,,602.47
dell,Inspiron 3511 Laptop,15.6,Black,2000.0,Core i5,8.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,693.99
hp,,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99
dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,,Integrated,Intel,,,899.99
rokc,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,,Integrated,Intel,,,639.99
msi,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.0,Windows 11 Home,,Dedicated,,1.8,5.0,1599.0
msi,Stealth GS66 12UGS-025,15.6,Core Black,,Intel Core i9,32.0,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8,1.0,1699.0
rokc,,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,,Integrated,Intel,1.2,,589.99
dell,Inspiron 3511 Laptop,15.6,Black,512.0,Core i5,8.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,599.99
dell,Latitude 3520 Laptop,15.6,,512.0,Core i7,,Windows 10 Home,,,,,,1667.99
dell,Latitude 5420 Laptop,14.0,Black,512.0,Core i7,8.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,807.99
dell,Latitude 5420 Laptop,14.0,Black,256.0,Core i5,8.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,765.75
msi,GF63 Thin 10SCXR,15.6,Black,2000.0,Core i5 Family,64.0,Windows 10 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating",Dedicated,,,,1029.99
dell,Precision 7560 Laptop,15.6,Silver,256.0,Core i7,32.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,2102.99
dell,Latitude 5520 Laptop,15.6,Black,128.0,Core i7,16.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,1690.99
dell,Vostro 3510 Laptop,15.6,Black,256.0,Core i5,16.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,713.99
dell,Inspiron 5620 Laptop,16.0,"Grey, Gray, Platinum Silver",256.0,Core i5,12.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,739.99
dell,Vostro 3510 Laptop,15.6,Black,2000.0,Core i5,32.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,877.99
rokc,,15.6,Blue,1152.0,Pentium,20.0,Windows 11,,Integrated,Intel,1.1,5.0,389.99
hp,,14.0,Rose Gold,64.0,Celeron N4000,16.0,Windows 11,,Integrated,Intel,1.1,4.7,389.99
hp,,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,,Integrated,Intel,1.1,4.4,459.99
dell,Latitude 5520 Laptop,15.6,Black,1000.0,Core i5,8.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,931.3
dell,Vostro 3510 Laptop,15.6,Black,512.0,Core i5,12.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,732.99
dell,Vostro 3510 Laptop,15.6,Black,128.0,Core i3,8.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,691.99
dell,Latitude 3520 Laptop,15.6,,1000.0,Core i7,,Windows 11 Pro,,,,,,1626.99
dell,Latitude 5320 Laptop,13.3,Black,256.0,Core i5,8.0,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,739.99
dell,Vostro 7620 Laptop,16.0,Black,4000.0,Core i7,40.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 3050,,,,1512.99
dell,Latitude 5520 Laptop,15.6,Black,256.0,Core i7,8.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,2337.99
lenovo,ThinkBook 15 G4,15.6,Mineral Grey,2000.0,Core i7 Family,16.0,Windows 10 Pro,"Fingerprint Reader, Backlit Keyboard, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Integrated,,,,1279.0
dell,Alienware m16 Laptop,16.0,Black,512.0,Core i7,32.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 4050,,,,1989.85
dell,Latitude 3540 Laptop,15.6,Black,256.0,Core i5,16.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,864.99
hp,,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99
dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,,Integrated,Intel,,,899.99
rokc,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,,Integrated,Intel,,,639.99
msi,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.0,Windows 11 Home,,Dedicated,,1.8,5.0,1599.0
msi,Stealth GS66 12UGS-025,15.6,Core Black,,Intel Core i9,32.0,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8,1.0,1699.0
rokc,,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,,Integrated,Intel,1.2,,589.99
msi,Raider GE76 12UE,17.3,Titanium Blue-Black-Dark Blue-Black,1000.0,Intel Core i9,16.0,Windows 10 Pro,"HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Dedicated,,,,1999.0
dell,7520,15.6,Black,256.0,Core i7,16.0,Windows 10 Pro,TrackPoint,"Integrated, Dedicated",,,,439.99
dell,Latitude 7420 Laptop,14.0,,1000.0,Core i7,,Windows 10 Home,,,,,,1528.99
dell,Inspiron 3511 Laptop,15.6,Black,500.0,Core i5,8.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,604.99
lenovo,ThinkPad E16 Gen 1,16.0,Graphite Black,1000.0,Core i7 Family,16.0,Windows 11 Home,"Fingerprint Reader, TrackPoint, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Integrated,,,,1309.0
acer,Aspire 3 A315,15.6,Pure Silver,512.0,Core i5 Family,8.0,Windows 10 Pro,"HD Audio, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Integrated,,,,709.0
dell,Latitude 3420 Laptop,14.0,Black,1000.0,Core i7,64.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1158.77
dell,Latitude 5520 Laptop,15.6,Black,256.0,Core i5,4.0,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,844.58
dell,G15 5530 Laptop,15.6,Gray,1000.0,Core i7,16.0,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4050,,,,1366.99
dell,Latitude 5320 Laptop,13.3,,256.0,Core i5,,Windows 11 Pro,,,,,,899.99
rokc,,15.6,Blue,1152.0,Pentium,20.0,Windows 11,,Integrated,Intel,1.1,5.0,389.99
hp,,14.0,Rose Gold,64.0,Celeron N4000,16.0,Windows 11,,Integrated,Intel,1.1,4.7,389.99
hp,,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,,Integrated,Intel,1.1,4.4,459.99
dell,Precision 7670 Laptop,16.0,Silver,2000.0,Core i9,64.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia RTX A1000,,,,2738.99
dell,Latitude 5520 Laptop,15.6,Black,256.0,Core i5,16.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1683.99
dell,Latitude 5520 Laptop,15.6,Black,2000.0,Core i7,64.0,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,2675.99
dell,Latitude 5420 Laptop,14.0,Black,256.0,Core i7,16.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,764.99
dell,Inspiron 3511 Laptop,15.6,Black,4000.0,Core i5,64.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1037.99
dell,Latitude 3520 Laptop,15.6,Black,8000.0,Core i5,16.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1887.38
dell,Latitude 5520 Laptop,15.6,Black,1000.0,Core i5,32.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,992.1
dell,Inspiron 3511 Laptop,15.6,Black,2000.0,Core i5,32.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,742.99
dell,Latitude 5520 Laptop,15.6,Black,1000.0,Core i7,16.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1764.99
hp,15-DY200,15.6,Natural Silver,512.0,Core i7 Family,16.0,Windows 11 Pro,"HD Audio, Memory Card Slot, Numeric Keypad",Integrated,,,,899.0
dell,XPS 9530 Laptop,15.6,Platinum Silver,512.0,Core i9,16.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 4070,,,,2604.99
hp,,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99
dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,,Integrated,Intel,,,899.99
rokc,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,,Integrated,Intel,,,639.99
msi,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.0,Windows 11 Home,,Dedicated,,1.8,5.0,1599.0
msi,Stealth GS66 12UGS-025,15.6,Core Black,,Intel Core i9,32.0,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8,1.0,1699.0
rokc,,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,,Integrated,Intel,1.2,,589.99
dell,Alienware X17 R2 Laptop,17.3,Lunar Light,2000.0,Core i7,64.0,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 3060,,,,2921.99
dell,XPS 9530 Laptop,15.6,Platinum Silver,1000.0,Core i9,64.0,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4070,,,,3178.99
dell,Vostro 7620 Laptop,16.0,Black,2000.0,Core i7,40.0,Windows 10 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 3050 Ti,,,,1365.99
dell,Inspiron 5630 Laptop,16.0,Gray,1000.0,Core i7,16.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,1084.99
dell,Precision 5770 Laptop,17.0,Silver,512.0,Core i7,64.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia RTX A3000,,,,3331.99
dell,Alienware m18 Laptop,18.0,Black,1000.0,Core i9,64.0,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4080,,,,3002.99
dell,Latitude 3420 Laptop,14.0,Black,256.0,Core i5,8.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce MX450,,,,813.99
dell,Latitude 7320 Laptop,13.3,,512.0,Core i5,16.0,Windows 10 Home,,Integrated,,,,807.99
dell,Latitude 5520 Laptop,15.6,Black,1000.0,Core i5,16.0,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,1757.99
dell,Precision 3470 Laptop,14.0,Silver,256.0,Core i7,16.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,1046.99
dell,Latitude 7440 2-in-1,14.0,Black,512.0,Core i7,16.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,2401.99
rokc,,15.6,Blue,1152.0,Pentium,20.0,Windows 11,,Integrated,Intel,1.1,5.0,389.99
hp,,14.0,Rose Gold,64.0,Celeron N4000,16.0,Windows 11,,Integrated,Intel,1.1,4.7,389.99
hp,,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,,Integrated,Intel,1.1,4.4,459.99
dell,Alienware m18 Laptop,18.0,Black,1000.0,Core i9,32.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 4070,,,,2790.04
msi,Stealth 15M B12UE,15.6,Core Black,2000.0,Core i7 Family,48.0,Windows 10 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating",Dedicated,,,,1689.0
dell,Vostro 3510 Laptop,15.6,Black,512.0,Core i5,32.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,773.99
dell,Precision 3581 Laptop,15.6,Silver,512.0,Core i9,16.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia RTX 2000 Ada,,,,2268.99
dell,Inspiron 5630 Laptop,16.0,"Gray, Platinum Silver",1000.0,Core i7,16.0,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 2050,,,,1207.99
dell,Latitude 7440 Laptop,14.0,Black,256.0,Core i5,16.0,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1212.99
dell,Latitude 7340 Laptop,13.3,Black,512.0,Core i7,16.0,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,1311.99
dell,Latitude 3420 Laptop,14.0,,2000.0,Core i5,,Windows 11 Home,,,,,,880.99
dell,Inspiron 5410 2-in-1,14.0,"Grey, Platinum Silver",128.0,Core i5,4.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,764.99
hp,,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99
dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,,Integrated,Intel,,,899.99
rokc,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,,Integrated,Intel,,,639.99
msi,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.0,Windows 11 Home,,Dedicated,,1.8,5.0,1599.0
msi,Stealth GS66 12UGS-025,15.6,Core Black,,Intel Core i9,32.0,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8,1.0,1699.0
rokc,,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,,Integrated,Intel,1.2,,589.99
dell,Latitude 3520 Laptop,15.6,,512.0,Core i5,,Windows 10 Home,,,,,,921.16
dell,Vostro 3510 Laptop,15.6,Black,512.0,Core i5,16.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,802.99
dell,Latitude 7420 Laptop,14.0,,512.0,Core i7,16.0,Windows 11 Home,,Integrated,,,,801.99
dell,Latitude 5420 Laptop,14.0,Black,1000.0,Core i5,32.0,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,1267.99
dell,Precision 3580 Laptop,15.6,Silver,256.0,Core i7,16.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX A500,,,,1783.99
dell,Latitude 7330 Laptop,13.3,Black,512.0,Core i7,16.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,844.58
dell,Alienware m18 Laptop,18.0,Black,4000.0,Core i9,64.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 4090,,,,4143.99
asus,TUF Dash 15,15.6,Eclipse Gray,1000.0,Core i7 Family,16.0,Windows 10 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating",Dedicated,,,,1179.0
dell,Alienware X16 Laptop,16.0,Silver,1000.0,Core i7,16.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 4070,,,,2806.99
dell,Inspiron 3511 Laptop,15.6,Black,1000.0,Core i5,64.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,809.99
dell,Inspiron 3511 Laptop,15.6,Black,128.0,Core i5,16.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,633.99
dell,Inspiron 5630 Laptop,16.0,"Gray, Platinum Silver",512.0,Core i7,16.0,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,1043.99
rokc,,15.6,Blue,1152.0,Pentium,20.0,Windows 11,,Integrated,Intel,1.1,5.0,389.99
hp,,14.0,Rose Gold,64.0,Celeron N4000,16.0,Windows 11,,Integrated,Intel,1.1,4.7,389.99
hp,,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,,Integrated,Intel,1.1,4.4,459.99
lenovo,ThinkPad T16 Gen 1,16.0,Thunder Black,1000.0,Core i7 Family,16.0,Windows 10 Pro,"Fingerprint Reader, TrackPoint, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Integrated,,,,1839.0
dell,Latitude 5420 Laptop,14.0,Black,256.0,Core i5,16.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,764.99
dell,Latitude 7420 2-in-1,14.0,Black,256.0,Core i5,8.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1733.99
dell,XPS 9530 Laptop,15.6,Platinum Silver,512.0,Core i7,16.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 4070,,,,2385.99
dell,Latitude 5440 Laptop,14.0,Black,512.0,Core i7,32.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce MX550,,,,1708.99
asus,TUF Gaming A17,17.3,Graphite Black,1000.0,Ryzen 5 4600H,16.0,Windows 10 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Dedicated,,,,1049.0
lenovo,IdeaPad 3 81X8,15.6,Almond,1000.0,Core i3 Family,12.0,Windows 10 Home,"Fingerprint Reader, HD Audio, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Integrated,,,,589.0
dell,XPS 9320 Laptop,13.4,Platinum,512.0,Core i7,32.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,1720.95
dell,Inspiron 15 3525,15.6,Platinum Silver,2000.0,AMD Ryzen 7,24.0,Windows 11 Pro,"Fingerprint Reader, HD Audio, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Dedicated,,,,1269.0
dell,Precision 7780 Laptop,17.0,Silver,32.0,Core i9,128.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,4618.0
hp,,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99
msi,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.0,Windows 11 Home,,Dedicated,,1.8,5.0,1599.0
msi,Stealth GS66 12UGS-025,15.6,Core Black,,Intel Core i9,32.0,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8,1.0,1699.0
rokc,,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,,Integrated,Intel,1.2,,589.99
dell,Alienware x14 R2 Laptop,14.0,Silver,4000.0,Core i7,32.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 4060,,,,2620.99
dell,Precision 3581 Laptop,15.6,Silver,256.0,Core i5,16.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX A500,,,,1576.99
dell,Latitude 5530 Laptop,15.6,Black,256.0,Core i7,16.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce MX250,,,,1929.99
dell,Latitude 5440 Laptop,14.0,Black,512.0,Core i7,8.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,1204.99
dell,Precision 5770 Laptop,17.0,Silver,1000.0,Core i7,32.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia RTX A3000,,,,3212.99
dell,Precision 7780 Laptop,17.0,Silver,512.0,Core i7,64.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,2815.3
dell,Precision 7780 Laptop,17.0,Silver,1000.0,Core i9,64.0,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,3378.36
dell,Precision 7770 Laptop,17.3,Silver,256.0,Core i7,32.0,Windows 11 Home,Wifi & Bluetooth,Nvidia RTX A3000,,,,2792.78
dell,Precision 3480 Laptop,14.0,Silver,256.0,Core i7,16.0,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,1008.94
dell,Alienware X17 R2 Laptop,17.3,Lunar Light,1000.0,Core i9,32.0,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 3070 Ti,,,,2580.73
rokc,,15.6,Blue,1152.0,Pentium,20.0,Windows 11,,Integrated,Intel,1.1,5.0,389.99
hp,,14.0,Rose Gold,64.0,Celeron N4000,16.0,Windows 11,,Integrated,Intel,1.1,4.7,389.99
hp,,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,,Integrated,Intel,1.1,4.4,459.99
dell,Latitude 5520 Laptop,15.6,Black,2000.0,Core i5,16.0,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,1816.99
dell,Latitude 5520 Laptop,15.6,Black,2000.0,Core i7,32.0,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,2547.99
dell,Inspiron 3511 Laptop,15.6,Black,512.0,Core i5,32.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,640.99
dell,Precision 3480 Laptop,14.0,Silver,512.0,Core i7,16.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,1023.99
dell,Latitude 5320 Laptop,13.3,Black,256.0,Core i5,8.0,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,730.99
dell,Latitude 7420 Laptop,14.0,Black,1000.0,Core i7,32.0,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,1493.99
dell,Latitude 5520 Laptop,15.6,Black,2000.0,Core i7,64.0,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,2675.99
dell,Latitude 3520 Laptop,15.6,Black,512.0,Core i7,32.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,1667.99
dell,XPS 9510 Laptop,15.6,Platinum Silver,4000.0,Core i7,16.0,Windows 10 Home,Wifi & Bluetooth,Nvidia GeForce RTX 3050 Ti,,,,3496.99
dell,Latitude 5520 Laptop,15.6,Black,1000.0,Core i7,64.0,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,2616.99
dell,Inspiron 3511 Laptop,15.6,Black,256.0,Core i5,32.0,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,672.99
hp,,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99
dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,,Integrated,Intel,,,899.99
rokc,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,,Integrated,Intel,,,639.99
msi,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.0,Windows 11 Home,,Dedicated,,1.8,5.0,1599.0
msi,Stealth GS66 12UGS-025,15.6,Core Black,,Intel Core i9,32.0,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8,1.0,1699.0
rokc,,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,,Integrated,Intel,1.2,,589.99
dell,Alienware m16 R1,16.0,Dark Metallic Moon,4000.0,Core i7 Family,64.0,Windows 10 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot",Dedicated,,,,2699.0
dell,Latitude 7420 Laptop,14.0,,256.0,Core i7,16.0,Windows 10 Home,,Integrated,,,,1431.99
acer,Nitro 5 AN515,15.6,Obisidian Black,2000.0,Core i7 Family,64.0,Windows 10 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Dedicated,,,,1819.0
dell,Alienware m16 Laptop,16.0,Black,1000.0,Core i9,32.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 4090,,,,3514.99
dell,Latitude 5430 Laptop,14.0,Black,256.0,Core i7,16.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,2316.99
dell,Precision 7560 Laptop,15.6,Silver,1000.0,Core i7,8.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia T1200,,,,2142.99
dell,XPS 9530 Laptop,15.6,Platinum Silver,2000.0,Core i7,32.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 4050,,,,2409.99
asus,ROG Strix G15,15.6,Eclipse gray,1000.0,AMD Ryzen 7,32.0,Windows 11 Pro,"HD Audio, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Dedicated,,,,1279.0
rokc,,15.6,Blue,1152.0,Pentium,20.0,Windows 11,,Integrated,Intel,1.1,5.0,389.99
hp,,14.0,Rose Gold,64.0,Celeron N4000,16.0,Windows 11,,Integrated,Intel,1.1,4.7,389.99
hp,,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,,Integrated,Intel,1.1,4.4,459.99
dell,Alienware m17 Ryzen Edition R5 Laptop,17.3,Dark Side of the Moon,1000.0,AMD Ryzen 7,32.0,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 3080,,,,2357.99
dell,Inspiron 5630 Laptop,16.0,"Gray, Platinum Silver",1000.0,Core i7,16.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 2050,,,,1249.99
dell,Alienware m18 Laptop,18.0,Black,1000.0,Core i7,32.0,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4070,,,,2517.99
dell,XPS 9530 Laptop,15.6,Platinum Silver,2000.0,Core i7,64.0,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4050,,,,2636.99
dell,Precision 3480 Laptop,14.0,Silver,512.0,Core i5,16.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX A500,,,,1023.99
dell,Latitude 3520 Laptop,15.6,Black,1000.0,Core i7,32.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce MX350,,,,1143.99
dell,Latitude 3420 Laptop,14.0,,512.0,Core i5,16.0,Windows 10 Home,,Integrated,,,,807.99
dell,Precision 3480 Laptop,14.0,Silver,512.0,Core i7,32.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX A500,,,,1139.99
dell,Latitude 3420 Laptop,14.0,Black,512.0,Core i5,16.0,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,740.99
dell,Precision 7770 Laptop,17.3,Silver,2000.0,Core i7,64.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia RTX A4500,,,,3533.99
hp,,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99
dell,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,,Integrated,Intel,,,899.99
rokc,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,,Integrated,Intel,,,639.99
msi,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.0,Windows 11 Home,,Dedicated,,1.8,5.0,1599.0
msi,Stealth GS66 12UGS-025,15.6,Core Black,,Intel Core i9,32.0,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8,1.0,1699.0
rokc,,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,,Integrated,Intel,1.2,,589.99
dell,Precision 3470 Laptop,14.0,Silver,512.0,Core i7,32.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia Quadro T550,,,,1314.99
dell,G15 5515 Laptop,15.6,Grey,512.0,AMD Ryzen 7,16.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 3060,,,,1334.99
dell,Alienware m18 Laptop,18.0,Black,4000.0,Core i9,64.0,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 4080,,,,3829.99
dell,Alienware m18 Laptop,18.0,Black,1000.0,Core i9,32.0,Windows 11 Home,Wifi & Bluetooth,Nvidia GeForce RTX 4070,,,,2595.99
dell,XPS 9315 2-in-1,13.0,Platinum Silver,512.0,Core i5,16.0,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,1284.99
